Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Status,custom.make,custom.model,custom.variant,custom.typeOfSystem,custom.yearFrom,custom.yearTo
milltek-seat-ibiza-1-9-tdi-130ps-and-160ps-2003-2007-cat-back-exhaust,Układ wydechowy Milltek Cat-back dla Seat Ibiza  2003 - 2007,"<p>Milltek Cat Back Exhaust Seat Ibiza 1.9 TDi 130PS and 160PS 03-07</p><p>Our range of exhaust systems are perfectly suited to cater for anyone looking to improve their sound and aesthetics, designed as a direct replacement for the original system, available in multiple configurations enabling the owner to choose the increase in volume of their exhaust and/or add a more suitably aggressive tone. All our products are made from 304L Aircraft Grade stainless steel. This quality material will ensure that your Cat-Back system will last through any harsh conditions.</p><br><br><div class=""variant-table-cleaned""><table style=""width:100%; border-collapse:collapse; font-family:Arial, sans-serif;"">
 <tbody>
  <tr>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Specification</th>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Value</th>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Pipe Size</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">63.5mm</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Fitting Time</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">1.00 to 3.50 hours</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Tip Style</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Twin 76.2mm Jet</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Type</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cat-back</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Make</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Seat</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Model</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Ibiza</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Variant</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">1.9 TDi 130PS and 160PS</td>
  </tr>
 </tbody>
</table></div>",Milltek,Pojazdy i części > Akcesoria i części do pojazdów > Części do pojazdów silnikowych > Elementy układu wydechowego,Układ wydechowy,"Milltek, Układ wydechowy, Seat, Ibiza, Cat-back",TRUE,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,Twin JET-76,,,SSXSE007,0.0,0,"3349,84",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE007_1.jpg?v=1734098515,1,FALSE,active,Seat,Ibiza,,Cat-back,2003,2007
milltek-seat-ibiza-1-9-tdi-130ps-and-160ps-2003-2007-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,Twin JET-76,,,SSXSE008,0.0,0,"3019,81",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE008_1.jpg?v=1734098515,2,,,,,,,,
milltek-seat-ibiza-1-9-tdi-130ps-and-160ps-2003-2007-cat-back-exhaust,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,Polerowany (owalny),,,SSXSE122,0.0,0,"3217,83",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE122_1.jpg?v=1734098515,3,,,,,,,,
milltek-seat-ibiza-1-9-tdi-130ps-and-160ps-2003-2007-cat-back-exhaust,,,,,,,,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,Polerowany (owalny),,,SSXSE123,0.0,0,"3547,86",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE123_1.jpg?v=1734098515,4,,,,,,,,
milltek-seat-ibiza-cupra-bocanegra-1-4-tsi-180ps-2009-2015-cat-back-exhaust-resonated,Układ wydechowy Milltek Cat-back dla Seat Ibiza  2009 - 2015,"<p>Milltek Cat Back Exhaust Seat Ibiza Cupra / Bocanegra 1.4 TSI 180PS 09-15</p><p>Our range of exhaust systems are perfectly suited to cater for anyone looking to improve their sound and aesthetics, designed as a direct replacement for the original system, available in multiple configurations enabling the owner to choose the increase in volume of their exhaust and/or add a more suitably aggressive tone. All our products are made from 304L Aircraft Grade stainless steel. This quality material will ensure that your Cat-Back system will last through any harsh conditions.</p><br><br><div class=""variant-table-cleaned""><table style=""width:100%; border-collapse:collapse; font-family:Arial, sans-serif;"">
 <tbody>
  <tr>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Specification</th>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Value</th>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Pipe Size</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">70mm</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Fitting Time</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">1.00 to 3.50 hours</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Tip Style</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Twin 80mm GT80</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Type</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cat-back</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Make</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Seat</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Model</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Ibiza</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Variant</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cupra / Bocanegra 1.4 TSI 180PS</td>
  </tr>
 </tbody>
</table></div>",Milltek,Pojazdy i części > Akcesoria i części do pojazdów > Części do pojazdów silnikowych > Elementy układu wydechowego,Układ wydechowy,"Milltek, Układ wydechowy, Seat, Ibiza, Cat-back",TRUE,Z tłumikiem?,"Resonated (2.76"" Pipe)",Wybierz końcówki,Twin GT-80,,,SSXSE136,0.0,0,"4460,95",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE136_1.jpg?v=1734098512,1,FALSE,active,Seat,Ibiza,,Cat-back,2009,2015
milltek-seat-ibiza-cupra-bocanegra-1-4-tsi-180ps-2009-2015-cat-back-exhaust-resonated,,,,,,,,Z tłumikiem?,Z tłumikiem,Wybierz końcówki,Twin GT-80,,,SSXSE138,0.0,0,"5192,53",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE138_1_04ba9e3a-9bb8-4598-b3fd-b53ca16df437.jpg?v=1734098512,2,,,,,,,,
milltek-seat-ibiza-cupra-bocanegra-1-4-tsi-180ps-2009-2015-cat-back-exhaust-resonated,,,,,,,,Z tłumikiem?,Bez tłumika,Wybierz końcówki,Twin GT-80,,,SSXSE152,0.0,0,"4614,97",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE152_1_ef11e2f5-822a-479c-9c58-9a844c5aa4b5.jpg?v=1734098513,3,,,,,,,,
milltek-seat-ibiza-cupra-1-8-20vt-180ps-2004-2007-cat-back-exhaust-non-resonated,Układ wydechowy Milltek Cat-back dla Seat Ibiza  2003 - 2007,"<p>Milltek Cat Back Exhaust Seat Ibiza Cupra 1.8 20VT 180PS 04-07</p><p>Our range of exhaust systems are perfectly suited to cater for anyone looking to improve their sound and aesthetics, designed as a direct replacement for the original system, available in multiple configurations enabling the owner to choose the increase in volume of their exhaust and/or add a more suitably aggressive tone. All our products are made from 304L Aircraft Grade stainless steel. This quality material will ensure that your Cat-Back system will last through any harsh conditions.</p><br><br><div class=""variant-table-cleaned""><table style=""width:100%; border-collapse:collapse; font-family:Arial, sans-serif;"">
 <tbody>
  <tr>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Specification</th>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Value</th>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Pipe Size</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">63.5mm</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Fitting Time</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">1.00 to 3.50 hours</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Tip Style</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Single Oval</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Type</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cat-back</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Make</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Seat</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Model</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Ibiza</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Variant</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cupra 1.8 20VT 180PS</td>
  </tr>
 </tbody>
</table></div>",Milltek,Pojazdy i części > Akcesoria i części do pojazdów > Części do pojazdów silnikowych > Elementy układu wydechowego,Układ wydechowy,"Milltek, Układ wydechowy, Seat, Ibiza, Cat-back",TRUE,Z tłumikiem?,Bez tłumika,,,,,SSXSE122,0.0,0,"3217,83",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE122_1_d5c48b96-4547-48fd-9095-4f266121799b.jpg?v=1734098508,1,FALSE,active,Seat,Ibiza,,Cat-back,2003,2007
milltek-seat-ibiza-cupra-1-8-20vt-180ps-2004-2007-cat-back-exhaust-non-resonated,,,,,,,,Z tłumikiem?,Z tłumikiem,,,,,SSXSE123,0.0,0,"3547,86",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE123_1_31756e7b-89a3-4b17-9f97-fce2afd77302.jpg?v=1734098508,2,,,,,,,,
milltek-seat-ibiza-cupra-1-8tfsi-6p-2016-2017-cat-back-exhaust,Układ wydechowy Milltek Cat-back dla Seat Ibiza  2009 - 2015,"<p>Milltek Cat Back Exhaust Seat Ibiza Cupra 1.8TFSi (6P) 16-17</p><p>Our range of exhaust systems are perfectly suited to cater for anyone looking to improve their sound and aesthetics, designed as a direct replacement for the original system, available in multiple configurations enabling the owner to choose the increase in volume of their exhaust and/or add a more suitably aggressive tone. All our products are made from 304L Aircraft Grade stainless steel. This quality material will ensure that your Cat-Back system will last through any harsh conditions.</p><br><br><div class=""variant-table-cleaned""><table style=""width:100%; border-collapse:collapse; font-family:Arial, sans-serif;"">
 <tbody>
  <tr>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Specification</th>
   <th style=""text-align:left; padding:8px; background-color:#f8f9fa; border:1px solid #ddd;"">Value</th>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Pipe Size</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">70mm</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Fitting Time</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">1.00 to 3.50 hours</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Tip Style</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Twin 80mm GT80</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Type</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cat-back</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Make</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Seat</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Model</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Ibiza</td>
  </tr>
  <tr>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Vehicle Variant</td>
   <td style=""text-align:left; padding:8px; border:1px solid #ddd;"">Cupra 1.8TFSI (6P)</td>
  </tr>
 </tbody>
</table></div>",Milltek,Pojazdy i części > Akcesoria i części do pojazdów > Części do pojazdów silnikowych > Elementy układu wydechowego,Układ wydechowy,"Milltek, Układ wydechowy, Seat, Ibiza, Cat-back",TRUE,,,,,,,SSXSE136,0.0,0,"4460,95",continue,manual,TRUE,TRUE,https://milltekexhaustshop.com/cdn/shop/files/SSXSE136_1_c6b73bc1-9f1f-4de0-981b-ff7f6bc1b3b5.jpg?v=1734098504,1,FALSE,active,Seat,Ibiza,,Cat-back,2009,2015
